muhatap_kodu,odeme_bicimi,vadesi_gecmis,ort_tahsilat_gun
M4130023,Kredi Kartı,0.0,0.0
M4130026,Kredi Kartı,0.0,0.0
M4130060,Kredi Kartı,0.0,0.0
M4130090,BELIRTILMEMIS,0.0,0.0
M4130104,Kredi Kartı,0.0,0.0
M4130111,Kredi Kartı,0.0,0.0
M4128576,Kredi Kartı,0.0,7.0
M4128521,BELIRTILMEMIS,0.0,0.0
M4128610,Kredi Kartı,0.0,0.0
M4128731,BELIRTILMEMIS,0.0,0.0
M4128731,Kredi Kartı,0.0,0.0
M4128588,Kredi Kartı,0.0,0.0
M4129626,BELIRTILMEMIS,0.0,0.0
M4130072,Kredi Kartı,0.0,0.0
M4129742,Kredi Kartı,0.0,0.0
M4129756,Kredi Kartı,0.0,0.0
M4128915,BELIRTILMEMIS,0.0,3.2
M4129368,BELIRTILMEMIS,0.0,-2.0
M4129412,BELIRTILMEMIS,0.0,0.0
M4129428,BELIRTILMEMIS,0.0,0.0
M4130087,Kredi Kartı,0.0,0.0
M4129876,Kredi Kartı,0.0,0.0
M4129924,Kredi Kartı,0.0,-0.2
M4128783,Kredi Kartı,0.0,0.0
M4128783,BELIRTILMEMIS,0.0,59.0
M4128893,Kredi Kartı,0.0,0.0
M4128893,BELIRTILMEMIS,0.0,0.0
M4128893,Peşin,0.0,0.0
M4130053,Kredi Kartı,0.0,0.0
M4130053,BELIRTILMEMIS,0.0,0.0
M4130028,Kredi Kartı,0.0,0.0
M4129908,Kredi Kartı,0.0,0.0
M4129999,Kredi Kartı,0.0,0.0
M4128917,BELIRTILMEMIS,0.0,0.0
M4128917,BELIRTILMEMIS,0.0,15.0
M4128715,Kredi Kartı,0.0,-1.0
M4128715,Peşin,0.0,-1.0
M4140451,Kredi Kartı,0.0,0.0
M4140451,BELIRTILMEMIS,0.0,0.0
M4129379,BELIRTILMEMIS,0.0,0.0
M4129330,Kredi Kartı,0.0,0.0
M4129330,BELIRTILMEMIS,0.0,2.0
M4128883,BELIRTILMEMIS,0.0,0.0
M4129382,Kredi Kartı,0.0,0.0
